Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Akhil Chandra Mitra,1954,PadmaShri,Uttar Pradesh,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Apa Saheb Bala Saheb Pant,1954,PadmaShri,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Apa_Saheb_Bala_Saheb_Pant,"11 September 1912
Aundh State,British India(present-dayMaharashtra, India)",11 September 1912,"Aundh State,British India(present-dayMaharashtra, India)","5 October 1992
Pune,Maharashtra, India",5 October 1992,"Pune,Maharashtra, India",,,"University of Bombay
University of Oxford",,Padma Shri(1954),Rajendra Prasad,"Diplomat, freedom fighter",No,No
K. Shankar Pillai,1954,PadmaShri,Delhi,Literature & Education,https://en.wikipedia.org/wiki/K._Shankar_Pillai,"(1902-07-31)31 July 1902
Kayamkulam, Kerala",(1902-07-31)31 July 1902,"Kayamkulam, Kerala",26 December 1989(1989-12-26)(aged 87),26 December 1989(1989-12-26)(aged 87),n/a,,,,,Padma Vibhushan(1976),Rajendra Prasad,"cartoonist, writer",No,No
Mirnamayee Ray,1954,PadmaShri,Andhra Pradesh,Public Affairs,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Tarlok Singh,1954,PadmaShri,Punjab,Civil Service,https://en.wikipedia.org/wiki/Tarlok_Singh_(economist),,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Machani Somappa,1954,PadmaShri,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Machani_Somappa,"1904
Yemmiganur,Kurnool,Andhra Pradesh, India",1904,"Yemmiganur,Kurnool,Andhra Pradesh, India","yemmiganur,Kurnool",n/a,n/a,,,,,Padma Shri,Rajendra Prasad,"Social worker, industrialist",No,No
S. P. P. Thorat,1954,PadmaShri,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/S._P._P._Thorat,"(1906-08-12)12 August 1906
Vadgaon,Kolhapur State,British India",(1906-08-12)12 August 1906,"Vadgaon,Kolhapur State,British India",10 August 1992(1992-08-10)(aged 85),10 August 1992(1992-08-10)(aged 85),n/a,,,,,"Kirti Chakra
Padma Shri
Distinguished Service Order",Rajendra Prasad,,No,No
Perakath Verghese Benjamin,1955,PadmaShri,Kerala,Medicine,https://en.wikipedia.org/wiki/Perakath_Verghese_Benjamin,"Kerala, India",n/a,n/a,,n/a,n/a,,,,,Padma Shri,Rajendra Prasad,,No,No
Kewal Singh Choudhary,1955,PadmaShri,Punjab,Civil Service,https://en.wikipedia.org/wiki/Kewal_Singh,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Zarina Currimbhoy,1955,PadmaShri,Maharashtra,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Krishna Kanta Handique,1955,PadmaShri,Assam,Literature & Education,https://en.wikipedia.org/wiki/Krishna_Kanta_Handique,"(1898-07-20)20 July 1898
Jorhat,Assam",(1898-07-20)20 July 1898,"Jorhat,Assam","7 June 1982(1982-06-07)(aged 83)
Dibrugarh,Assam",7 June 1982(1982-06-07)(aged 83),"Dibrugarh,Assam",Indian,,,,Padma Shri(1955)Padma Bhushan(1967)Sahitya Akademi Award(1985),Rajendra Prasad,"Professor, Vice-Chancellor",No,No
Mary Clubwala Jadhav,1955,PadmaShri,Tamil Nadu,Social Work,https://en.wikipedia.org/wiki/Mary_Clubwala_Jadhav,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Digamber Vasudev Joglekar,1955,PadmaShri,Maharashtra,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Sidda Nath Kaul,1955,PadmaShri,Delhi,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Manak Jehangir Bhickaji Maneckji,1955,PadmaShri,Maharashtra,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Mahesh Prasad Mehray,1955,PadmaShri,Uttar Pradesh,Medicine,https://en.wikipedia.org/wiki/Mahesh_Prasad_Mehray,"1900
Allahabad,North Western Provinces,British India",1900,"Allahabad,North Western Provinces,British India",1974,1974,n/a,,Gopi Rani,,,"Padma Bhushan
Padma Shri
Dr. B. C. Roy Award
Rustom Merwaniji Alpaiwalla Award",Rajendra Prasad,Ophthalmologist,No,No
Humayun Mirza,1955,PadmaShri,Karnataka,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Habibur Rahman,1955,PadmaShri,Delhi,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Laxminarayan Sahu,1955,PadmaShri,Odisha,Literature & Education,https://en.wikipedia.org/wiki/Laxminarayan_Sahu,"Keertan Sahu Shiv Narayan Sahu
13 January 2003
Karondi, Shahpura",13 January 2003,n/a,,n/a,n/a,,,,,,Rajendra Prasad,Indian Army Under Training,No,No
Ratan Shastri,1955,PadmaShri,Rajasthan,Literature & Education,https://en.wikipedia.org/wiki/Ratan_Shastri,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Omkarnath Thakur,1955,PadmaShri,Gujarat,Arts,https://en.wikipedia.org/wiki/Omkarnath_Thakur,"(1897-06-24)24 June 1897[1]
Jahaj,Khambhat (Gujarat)Baroda State,Bombay Presidency,British India(present-dayGujarat,India)",(1897-06-24)24 June 1897[1],"Jahaj,Khambhat (Gujarat)Baroda State,Bombay Presidency,British India(present-dayGujarat,India)","29 December 1967(1967-12-29)(aged 70)[2]
Bombay,Maharashtra,India(present-dayMumbai)",29 December 1967(1967-12-29)(aged 70)[2],"Bombay,Maharashtra,India(present-dayMumbai)",,,,,,Rajendra Prasad,,No,No
Sohan Singh Bhakna,1956,PadmaShri,Punjab,Medicine,https://en.wikipedia.org/wiki/Sohan_Singh_Bhakna,"22 January 1870
Khutrai Khurd,British India",22 January 1870,"Khutrai Khurd,British India","21 December 1968 (Aged 98)
Amritsar,India",21 December 1968 (Aged 98),"Amritsar,India",,,,,,Rajendra Prasad,,No,No
Surya Kumar Bhuyan,1956,PadmaShri,Rajasthan,Literature & Education,https://en.wikipedia.org/wiki/Surya_Kumar_Bhuyan,"(1892-01-27)27 January 1892
Fauzdaripatty,Nagaon district, Assam",(1892-01-27)27 January 1892,"Fauzdaripatty,Nagaon district, Assam","1964 (aged 71–72) -->
Fauzdaripatty, Nagaon, Assam",1964 (aged 71–72) -->,"Fauzdaripatty, Nagaon, Assam",Indian,,,,Padma Shri,Rajendra Prasad,"Writer, Lecturer",No,No
Mohan Lal,1956,PadmaShri,Uttar Pradesh,Medicine,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Satish Chandra Majumdar,1956,PadmaShri,West Bengal,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Murugappa Channaveerappa Modi,1956,PadmaShri,Karnataka,Medicine,https://en.wikipedia.org/wiki/Murugappa_Channaveerappa_Modi,"4 October 1916
Bilagi,
Bagalkot District,
Karnataka,
India",4 October 1916,"Bilagi,
Bagalkot District,
Karnataka,
India","11 November 2005(2005-11-11)(aged 89)
Bengaluru,
Karnataka,
India",11 November 2005(2005-11-11)(aged 89),"Bengaluru,
Karnataka,
India",,,,,,Rajendra Prasad,Ophthalmologist,No,No
Sukhdev Pande,1956,PadmaShri,Uttarakhand,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Chintaman Govind Pandit,1956,PadmaShri,Gujarat,Medicine,https://en.wikipedia.org/wiki/Chintaman_Govind_Pandit,"(1895-07-25)25 July 1895
India",(1895-07-25)25 July 1895,India,"7 September 1991(1991-09-07)(aged 96)
India",7 September 1991(1991-09-07)(aged 96),India,,,,,"Padma Bhushan
Order of the British Empire
Padma Shri",Rajendra Prasad,Virologist,No,No
Sthanam Narasimha Rao,1956,PadmaShri,Andhra Pradesh,Arts,https://en.wikipedia.org/wiki/Sthanam_Narasimha_Rao,"23 September 1902
Bapatla,Andhra Pradesh, India",23 September 1902,"Bapatla,Andhra Pradesh, India",21 February 1971,21 February 1971,n/a,,,,,"Sangeet Natak Akademi Award(1961)
Padma Shri(1956)",Rajendra Prasad,,No,No
Isaac Santra,1956,PadmaShri,West Bengal,Medicine,https://en.wikipedia.org/wiki/Isaac_Santra,"3 November 1892
Sambalpur,Odisha, India",3 November 1892,"Sambalpur,Odisha, India","29 August 1968(1968-08-30)(aged 75)
Sambalpur,Odisha, India",29 August 1968(1968-08-30)(aged 75),"Sambalpur,Odisha, India",,Rajkumari Das,,,"Padma Shri
Rai Saheb",Rajendra Prasad,Physician,No,No
Jaswantrai Jayantilal Anjaria,1957,PadmaShri,Maharashtra,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Atmaram Ramchand Chellani,1957,PadmaShri,Andhra Pradesh,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Laxman Mahadeo Chitale,1957,PadmaShri,Maharashtra,Science & Engineering,https://en.wikipedia.org/wiki/Laxman_Mahadeo_Chitale,"1892
Ratnagiri,Maharashtra, India",1892,"Ratnagiri,Maharashtra, India",1960,1960,n/a,,,,,"Padma Shri
RIBAFellowship",Rajendra Prasad,Architect,Yes,No
Nalini Bala Devi,1957,PadmaShri,Assam,Literature & Education,https://en.wikipedia.org/wiki/Nalini_Bala_Devi,"23 March 1898
Guwahati, Assam",23 March 1898,"Guwahati, Assam",24 December 1977,24 December 1977,n/a,Indian,Jibeswar Changkakoti,,,"Sahitya Akademi Award
Padma Shri",Rajendra Prasad,"Poet, writer",Yes,No
Narayan Swami Dharmarajan,1957,PadmaShri,Tamil Nadu,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Gurbaksh Singh Dhillon,1957,PadmaShri,Tamil Nadu,Civil Service,https://en.wikipedia.org/w/index.php?title=Gurbaksh_Singh_Dhillon&action=edit&redlink=1,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,Yes,No
Ram Prakash Gehlote,1957,PadmaShri,Delhi,Science & Engineering,https://en.wikipedia.org/wiki/Ram_Prakash_Gehlote,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,Yes,No
Thackkadu Natesasastrigal Jagadisan,1957,PadmaShri,Tamil Nadu,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Sudhir Khastgir,1957,PadmaShri,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Sudhir_Khastgir,"(1907-09-24)24 September 1907
Chittagong,Bangladesh",(1907-09-24)24 September 1907,"Chittagong,Bangladesh","6 June 1974(1974-06-06)(aged 66)
Kolkata,West Bengal,India",6 June 1974(1974-06-06)(aged 66),"Kolkata,West Bengal,India",Indian,,,,,Rajendra Prasad,,Yes,No
Ralengnao Khathing,1957,PadmaShri,Manipur,Public Affairs,https://en.wikipedia.org/wiki/Ralengnao_Khathing,"28 February 1912
Ukhrul, Manipur, India",28 February 1912,"Ukhrul, Manipur, India","12 January 1990
Mantripukhri,Imphal, Manipur, India",12 January 1990,"Mantripukhri,Imphal, Manipur, India",,,,,"Padma Shri
Member of the Order of the British Empire
Military Cross
C-in-CGallantry Certificate",Rajendra Prasad,"Army major, civil servant, diplomat",Yes,No
Dwaram Venkataswamy Naidu,1957,PadmaShri,Andhra Pradesh,Arts,https://en.wikipedia.org/wiki/Dwaram_Venkataswamy_Naidu,"(1893-11-08)8 November 1893
Bangalore, India",(1893-11-08)8 November 1893,"Bangalore, India",25 November 1964 (aged 71),25 November 1964 (aged 71),n/a,,,,,,Rajendra Prasad,,Yes,No
Krishnaswami Ramiah,1957,PadmaShri,Andhra Pradesh,Science & Engineering,https://en.wikipedia.org/wiki/Krishnaswami_Ramiah,"15 April 1892
Kizhakarai, Ramnad district,Madras Presidency,British Raj
(nowRamanathapuram district, Tamil Nadu, India)",15 April 1892,"Kizhakarai, Ramnad district,Madras Presidency,British Raj
(nowRamanathapuram district, Tamil Nadu, India)","3 August 1988(1988-08-03)(aged 96)
Bengaluru,Karnataka, India",3 August 1988(1988-08-03)(aged 96),"Bengaluru,Karnataka, India",,Janaki Ammal (3 Aug 1902 – 15 March 1985),,,1938MBE1961ICARInternational Rice Year Medal1957Padma Shri1969INSASunder Lal Hora Medal1970Padma Bhushan,Rajendra Prasad,Agricultural scientist,Yes,No
S. R. Ranganathan,1957,PadmaShri,Karnataka,Literature & Education,https://en.wikipedia.org/wiki/S._R._Ranganathan,"Shiyali Ramamrita Ranganathan
(1892-08-12)12 August 1892
shiyali,British India(present-dayTamil Nadu,India)",(1892-08-12)12 August 1892,n/a,"27 September 1972 (aged 80)
Bangalore, India",27 September 1972 (aged 80),"Bangalore, India",Indian,,,,Padma Shri(1957),Rajendra Prasad,"Librarian, author, academic, mathematician",Yes,No
Samarendranath Sen,1957,PadmaShri,West Bengal,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Balbir Singh,1957,PadmaShri,Chandigarh,Sports,"https://en.wikipedia.org/wiki/Balbir_Singh,_Sr.","(1924-10-10)10 October 1924[1]
Haripur Khalsa,Punjab,British India",(1924-10-10)10 October 1924[1],"Haripur Khalsa,Punjab,British India","25 May 2020(2020-05-25)(aged 96)[2]
Mohali,Punjab,India[3]",25 May 2020(2020-05-25)(aged 96)[2],"Mohali,Punjab,India[3]",Indian,,,,,Rajendra Prasad,,Yes,No
Khushdeva Singh,1957,PadmaShri,Punjab,Medicine,https://en.wikipedia.org/wiki/Khushdeva_Singh,"Patiala,Punjab, India",n/a,n/a,,n/a,n/a,,,,,Padma Shri,Rajendra Prasad,Physician,Yes,No
Debaki Bose,1958,PadmaShri,West Bengal,Arts,https://en.wikipedia.org/wiki/Debaki_Bose,"Debaki Kumar Bose
1898(1898)",1898(1898),n/a,1971 (aged 72–73),1971 (aged 72–73),n/a,,,,,,Rajendra Prasad,,No,No
Punamalai Ekambaranathan,1958,PadmaShri,Tamil Nadu,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Fatima Ismail,1958,PadmaShri,Maharashtra,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Shambhu Maharaj,1958,PadmaShri,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Shambhu_Maharaj,"1910
India",1910,India,"4 November 1970(1970-11-04)(aged 59–60)
New Delhi, India",4 November 1970(1970-11-04)(aged 59–60),"New Delhi, India",Indian,,,,,Rajendra Prasad,Indian classical musicdancer,No,No
Nargis,1958,PadmaShri,Maharashtra,Arts,https://en.wikipedia.org/wiki/Nargis,"Fatima Rashid[1]
(1929-06-01)1 June 1929
Calcutta,Bengal Presidency,British India",Fatima Rashid[1],"(1929-06-01)1 June 1929
Calcutta,Bengal Presidency,British India","3 May 1981(1981-05-03)(aged 51)
Bombay,Maharashtra, India",3 May 1981(1981-05-03)(aged 51),"Bombay,Maharashtra, India",,"Sunil Dutt
​​(m.1958)​",,,Filmfare Award for Best Actress(1958)National Film Award(1968),Rajendra Prasad,Actresspolitician,No,No
Bal Raj Nijhawan,1958,PadmaShri,– [a],Science & Engineering,https://en.wikipedia.org/wiki/Bal_Raj_Nijhawan,"22 September 1915
Lyallpur,British India",22 September 1915,"Lyallpur,British India",6 April 2014,6 April 2014,n/a,,Pushpa,,,"Padma Shri
Shanti Swarup Bhatnagar Prize
Iron and Steel Institute of Japan Gold Medal
Government of Yugoslavia Award
International AwardGovernment of Poland
Government of CzechoslovakiaAward of Honour and Gold Medal
Banaras Hindu UniversityDistinguished Alumnus Award",Rajendra Prasad,Metallurgist,No,No
Benjamin Peary Pal,1958,PadmaShri,Delhi,Science & Engineering,https://en.wikipedia.org/wiki/Benjamin_Peary_Pal,"(1906-05-26)26 May 1906
Mukandpur,Punjab,British India",(1906-05-26)26 May 1906,"Mukandpur,Punjab,British India",14 September 1989(1989-09-14)(aged 83),14 September 1989(1989-09-14)(aged 83),n/a,,,,Indian Council of Agricultural Research,FRS[1]Padma Vibhushan(1987),Rajendra Prasad,,No,No
Navalpakkam Parthasarthy,1958,PadmaShri,– [b],Science & Engineering,https://en.wikipedia.org/wiki/Navalpakkam_Parthasarthy,"8 April 1900
India",8 April 1900,India,4 January 1993,4 January 1993,n/a,,,,,"Padma Shri
Rural Development Agency, South Korea Gold Medal",Rajendra Prasad,,No,No
Balwant Sing Puri,1958,PadmaShri,Punjab,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Lakshminarayana Pulram Ananthakrishnan Ramdas,1958,PadmaShri,Delhi,Science & Engineering,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Devika Rani,1958,PadmaShri,Karnataka,Arts,https://en.wikipedia.org/wiki/Devika_Rani,"Devika Rani Chaudhuri
(1908-03-30)30 March 1908
Vizagapatam,Madras Presidency,British India(present-dayVisakhapatnam,Andhra Pradesh,India)",(1908-03-30)30 March 1908,n/a,"9 March 1994(1994-03-09)(aged 85)
Bangalore,Karnataka, India",9 March 1994(1994-03-09)(aged 85),"Bangalore,Karnataka, India",,Himanshu Rai(1929–1940)[1]Svetoslav Roerich(1945–1993),,,Dadasaheb Phalke Award(1969),Rajendra Prasad,"Textile designer, actress, singer",No,No
Argula Nagaraja Rao,1958,PadmaShri,Andhra Pradesh,Trade & Industry,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Satyajit Ray,1958,PadmaShri,West Bengal,Arts,https://en.wikipedia.org/wiki/Satyajit_Ray,"(1921-05-02)2 May 1921
Calcutta,Bengal Presidency,British India(now inWest Bengal,India)",(1921-05-02)2 May 1921,"Calcutta,Bengal Presidency,British India(now inWest Bengal,India)","23 April 1992(1992-04-23)(aged 70)
Calcutta,West Bengal,India",23 April 1992(1992-04-23)(aged 70),"Calcutta,West Bengal,India",Indian,Bijoya Ray​(m.1949⁠–⁠1992)​,,,Full list,Rajendra Prasad,Film directorwriterillustratorLyricist,No,No
Moturi Satyanarayana,1958,PadmaShri,Tamil Nadu,Public Affairs,https://en.wikipedia.org/wiki/Moturi_Satyanarayana,"2 February 1902
Dondapadu, Krishna district, Andhra Pradesh",2 February 1902,"Dondapadu, Krishna district, Andhra Pradesh","March 6, 1995(1995-03-06)(aged 93)","March 6, 1995(1995-03-06)(aged 93)",n/a,,Shrimati Suryakanta Devi,,,,Rajendra Prasad,"Activist, politician",No,No
Ram Singh,1958,PadmaShri,Punjab,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Kunwar Digvijai Singh,1958,PadmaShri,Uttar Pradesh,Sports,https://en.wikipedia.org/wiki/K._D._Singh,"(1922-02-02)2 February 1922
Barabanki,United Provinces,
British India",(1922-02-02)2 February 1922,"Barabanki,United Provinces,
British India","27 March 1978(1978-03-27)(aged 56)
Lucknow,Uttar Pradesh,India",27 March 1978(1978-03-27)(aged 56),"Lucknow,Uttar Pradesh,India",,,,,,Rajendra Prasad,,No,No
R. S. Subbalakshmi,1958,PadmaShri,Tamil Nadu,Social Work,https://en.wikipedia.org/wiki/R._S._Subbalakshmi,"(1886-08-18)18 August 1886
Mylapore, Madras, India",(1886-08-18)18 August 1886,"Mylapore, Madras, India","20 December 1969(1969-12-20)(aged 83)
Madras",20 December 1969(1969-12-20)(aged 83),Madras,,,,,"Kaiser-i-Hindaward,Padma Shreeaward",Rajendra Prasad,"Social reformer,educationist, Member ofMadras Legislative Council,Madras Presidency",No,No
Ram Chandra Varma,1958,PadmaShri,Uttar Pradesh,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Magan Lal Tribhuvandas Vyas,1958,PadmaShri,Gujarat,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
K. S. Chandrasekharan,1959,PadmaShri,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/K._S._Chandrasekharan,"(1920-11-21)21 November 1920
Bapatla,Guntur District,Madras Presidency,British India(nowAndhra Pradesh,India)",(1920-11-21)21 November 1920,"Bapatla,Guntur District,Madras Presidency,British India(nowAndhra Pradesh,India)","13 April 2017(2017-04-13)(aged 96)
Zurich",13 April 2017(2017-04-13)(aged 96),Zurich,,,,"TIFR,ETH Zurich","Srinivasa Ramanujan Medal(1966),Padma Shri(1959),Shanti Swarup Bhatnagar Awardfor Mathematical Sciences (1963)",Rajendra Prasad,Mathematician,No,No
Sailabala Das,1959,PadmaShri,Odisha,Social Work,https://en.wikipedia.org/wiki/Sailabala_Das,"Shoila Bala Hazra
(1875-03-25)25 March 1875[1]
Chakraberia Road,Bhowanipore, Calcutta",(1875-03-25)25 March 1875[1],n/a,29 April 1968(1968-04-29)(aged 93),29 April 1968(1968-04-29)(aged 93),n/a,,,"Bethune College,Maria Grey Training College[2]",,,Rajendra Prasad,,No,No
Manchar Balvant Diwan,1959,PadmaShri,Maharashtra,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Mary Ratnamma Issac,1959,PadmaShri,Karnataka,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Lakshman Singh Jangpangi,1959,PadmaShri,Odisha,Social Work,https://en.wikipedia.org/wiki/Lakshman_Singh_Jangpangi,"24 July 1905
Burfu,Johar Valley,Uttarakhand, India",24 July 1905,"Burfu,Johar Valley,Uttarakhand, India",1976,1976,n/a,,,,,Padma Shri,Rajendra Prasad,,No,No
Surendranath Kar,1959,PadmaShri,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Surendranath_Kar,"5 March 1892
Bihar, India",5 March 1892,"Bihar, India",2 August 1970,2 August 1970,n/a,,,,,Padma Shri,Rajendra Prasad,"Artist, architect",No,No
Ganesh Gobind Karkhanis,1959,PadmaShri,Karnataka,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Parixitalal Lallu Bhai Majumdar,1959,PadmaShri,Gujarat,Social Work,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Mathew Kandathil Mathulla,1959,PadmaShri,Karnataka,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
