Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Jamini Roy,1954,PadmaBushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Jamini_Roy,"(1887-04-14)14 April 1887
Beliatore,Bankura district,Bengal Presidency,British Raj]",(1887-04-14)14 April 1887,"Beliatore,Bankura district,Bengal Presidency,British Raj]",24 April 1972(1972-04-24)(aged 85),24 April 1972(1972-04-24)(aged 85),n/a,Indian,,,,Padma Bhushan(1955),Rajendra Prasad,,No,No
Sukumar Sen,1954,PadmaBushan,West Bengal,Civil Service,https://en.wikipedia.org/wiki/Sukumar_Sen_(civil_servant),(1898-01-02)2 January 1898,(1898-01-02)2 January 1898,n/a,13 May 1963(1963-05-13)(aged 65),13 May 1963(1963-05-13)(aged 65),n/a,Indian,Gouri Sen,"Presidency College, Calcutta
University of London",,Padma Bhushan,Rajendra Prasad,Civil servant,No,No
Satya Narayana Shastri,1954,PadmaBushan,Uttar Pradesh,Medicine,https://en.wikipedia.org/wiki/Satya_Narayana_Shastri,"Uttar Pradesh, India",n/a,n/a,,n/a,n/a,,,,,1954Padma Bhushan,Rajendra Prasad,"Physician, scholar, academic",No,No
M. S. Subbulakshmi,1954,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/M._S._Subbulakshmi,"(1916-09-16)16 September 1916
Madurai,Madras Presidency, India",(1916-09-16)16 September 1916,"Madurai,Madras Presidency, India","11 December 2004(2004-12-11)(aged 88)
Chennai, Tamil Nadu, India",11 December 2004(2004-12-11)(aged 88),"Chennai, Tamil Nadu, India",,,,,,Rajendra Prasad,,No,No
Kodandera Subayya Thimayya,1954,PadmaBushan,Karnataka,Civil Service,https://en.wikipedia.org/wiki/Kodandera_Subayya_Thimayya,"(1906-03-31)31 March 1906[1][2]
Madikeri,Coorg,Mysore,British India",(1906-03-31)31 March 1906[1][2],"Madikeri,Coorg,Mysore,British India","17 December 1965(1965-12-18)(aged 59)
Cyprus",17 December 1965(1965-12-18)(aged 59),Cyprus,,,,,"Padma Bhushan
Distinguished Service Order",Rajendra Prasad,,No,No
Fateh Chand Badhwar,1955,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Fateh_Chand_Badhwar,1900,1900,n/a,10 October 1995(1995-10-10)(aged 94–95),10 October 1995(1995-10-10)(aged 94–95),n/a,Indian,,,,"Order of the British Empire(in 1946)
Padma Bhushan(in 1955)",Rajendra Prasad,Civil Servant,No,No
Lalit Mohan Banerjee,1955,PadmaBushan,West Bengal,Medicine,https://en.wikipedia.org/wiki/Lalit_Mohan_Banerjee,"West Bengal, India",n/a,n/a,,n/a,n/a,,,,,Padma Bhushan,Rajendra Prasad,Surgeon,No,No
Suniti Kumar Chatterji,1955,PadmaBushan,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Suniti_Kumar_Chatterji,"(1890-11-26)26 November 1890
Shibpur,Howrah,Bengal,British India",(1890-11-26)26 November 1890,"Shibpur,Howrah,Bengal,British India","29 May 1977(1977-05-29)(aged 86)
Kolkata,West Bengal, India",29 May 1977(1977-05-29)(aged 86),"Kolkata,West Bengal, India",Indian,,,,Padma Bhushan(1955),Rajendra Prasad,,No,No
Kamaladevi Chattopadhyay,1955,PadmaBushan,West Bengal,Social Work,https://en.wikipedia.org/wiki/Kamaladevi_Chattopadhyay,"(1903-04-03)3 April 1903
Mangalore,Madras Presidency(in present-dayKarnataka), India",(1903-04-03)3 April 1903,"Mangalore,Madras Presidency(in present-dayKarnataka), India","29 October 1988(1988-10-29)(aged 85)
Bombay,Maharashtra, India",29 October 1988(1988-10-29)(aged 85),"Bombay,Maharashtra, India",,"Krishna Rao​(m.1917⁠–⁠1919)​
Harindranath Chattopadhyay​​(m.1923⁠–⁠1955)​",,,"Ramon Magsaysay Award(1966)
Padma Bhushan(1955)
Padma Vibhushan(1987)",Rajendra Prasad,,No,No
Surender Kumar Dey,1955,PadmaBushan,—[b],Civil Service,https://en.wikipedia.org#cite_note-18,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Vasant Ramji Khanolkar,1955,PadmaBushan,Maharashtra,Medicine,https://en.wikipedia.org/wiki/V._R._Khanolkar,(1895-04-13)13 April 1895,(1895-04-13)13 April 1895,n/a,29 October 1978(1978-10-29)(aged 83),29 October 1978(1978-10-29)(aged 83),n/a,Indian,,,,Padma Bhushan(1954),Rajendra Prasad,,No,No
Sunder Das Khungar,1955,PadmaBushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Sunder_Das_Khungar,India,n/a,n/a,,n/a,n/a,,,,,Padma Bhushan,Rajendra Prasad,"Civil engineer
Civil servant",No,No
Rameshwari Nehru,1955,PadmaBushan,Uttar Pradesh,Social Work,https://en.wikipedia.org/wiki/Rameshwari_Nehru,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Prana Krushna Parija,1955,PadmaBushan,Odisha,Literature & Education,https://en.wikipedia.org/wiki/Prana_Krushna_Parija,"(1891-04-01)1 April 1891
Balikuda,Bengal Presidency,British India
(nowOdisha,India)",(1891-04-01)1 April 1891,"Balikuda,Bengal Presidency,British India
(nowOdisha,India)",2 June 1978(1978-06-02)(aged 87),2 June 1978(1978-06-02)(aged 87),n/a,Indian,,,"Ravenshaw University
Banaras Hindu University
Utkal University","Padma Bhushan(1955)
Officer of theOrder of the British Empire(OBE; 1944)",Rajendra Prasad,,No,No
Madapati Rao,1955,PadmaBushan,Andhra Pradesh,Social Work,https://en.wikipedia.org/wiki/Madapati_Hanumantha_Rao,"(1885-01-22)January 22, 1885
Pokkunuru, Nandigama Taluk,Krishna district","(1885-01-22)January 22, 1885","Pokkunuru, Nandigama Taluk,Krishna district","November 11, 1970(1970-11-11)(aged 85)","November 11, 1970(1970-11-11)(aged 85)",n/a,,,,,,Rajendra Prasad,,No,No
Maneklal Sankalchand Thacker,1955,PadmaBushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Maneklal_Sankalchand_Thacker,"(1904-12-03)3 December 1904
Gujarat, India",(1904-12-03)3 December 1904,"Gujarat, India","16 December 1998(1998-12-16)(aged 94)
Ahmedabad",16 December 1998(1998-12-16)(aged 94),Ahmedabad,,,,,Padma Bhushan,Rajendra Prasad,"Power Engineer
Academic",No,No
Attur Rangaswami Venkatachari,1955,PadmaBushan,Tamil Nadu,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Rukmini Devi Arundale,1956,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Rukmini_Devi_Arundale,"Rukmani Neelakanda Sastri
(1904-02-29)29 February 1904
Madurai,Madras Presidency,British India",(1904-02-29)29 February 1904,n/a,"24 February 1986(1986-02-24)(aged 81)
Chennai,Tamil Nadu, India",24 February 1986(1986-02-24)(aged 81),"Chennai,Tamil Nadu, India",,George Arundale​(m.1920)​,,,"Padma Bhushan(1956)
Sangeet Natak Akademi Fellowship(1967)",Rajendra Prasad,,No,No
Rajshekhar Basu,1956,PadmaBushan,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Rajshekhar_Basu,"(1880-03-16)16 March 1880
Bamunpara,Kandorsona,Bengal Presidency,British India(nowPurba Bardhaman,West Bengal, India)[1]",(1880-03-16)16 March 1880,"Bamunpara,Kandorsona,Bengal Presidency,British India(nowPurba Bardhaman,West Bengal, India)[1]",27 April 1960(1960-04-27)(aged 80),27 April 1960(1960-04-27)(aged 80),n/a,,,,,,Rajendra Prasad,,No,No
Dhyan Chand,1956,PadmaBushan,Punjab,Sports,https://en.wikipedia.org/wiki/Dhyan_Chand,"(1905-08-29)29 August 1905[1]
Allahabad,United Provinces of Agra and Oudh,British India
(present-dayPrayagraj,Uttar Pradesh,India)",(1905-08-29)29 August 1905[1],"Allahabad,United Provinces of Agra and Oudh,British India
(present-dayPrayagraj,Uttar Pradesh,India)","3 December 1979(1979-12-03)(aged 74)[2]
All India Institute of Medical Sciences, New Delhi, India",3 December 1979(1979-12-03)(aged 74)[2],"All India Institute of Medical Sciences, New Delhi, India",,,,,,Rajendra Prasad,,No,No
Malur Srinivasa Thirumale Iyengar,1956,PadmaBushan,Tamil Nadu,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Nawab Zain Yar Jung,1956,PadmaBushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Zain_Yar_Jung,"Syed Zainuddin Hussain Khan
1889",1889,n/a,1961,1961,n/a,,,,,Padma Bhushan(1956),Rajendra Prasad,Architect,No,No
Pushpavati Janardenrai Mehta,1956,PadmaBushan,Maharashtra,Public Affairs,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,No,No
Cottari Kankaiyah Nayudu,1956,PadmaBushan,Tamil Nadu,Sports,https://en.wikipedia.org/wiki/C._K._Nayudu,"(1895-10-31)31 October 1895,Nagpur, Central Provinces[1]","(1895-10-31)31 October 1895,Nagpur, Central Provinces[1]",n/a,"14 November 1967(1967-11-14)(aged 72),Indore, Madhya Pradesh","14 November 1967(1967-11-14)(aged 72),Indore, Madhya Pradesh",n/a,,,,,,Rajendra Prasad,,No,No
Muthulakshmi Reddi,1956,PadmaBushan,Tamil Nadu,Medicine,https://en.wikipedia.org/wiki/Muthulakshmi_Reddi,"(1886-07-30)30 July 1886
Princely StateofPudukottai,Madras Presidency,India",(1886-07-30)30 July 1886,"Princely StateofPudukottai,Madras Presidency,India",22 July 1968(1968-07-22)(aged 81),22 July 1968(1968-07-22)(aged 81),n/a,,Sundara Reddy,,,Padma Bhushan(1956),Rajendra Prasad,,No,No
Kanwar Sain,1956,PadmaBushan,Rajasthan,Civil Service,https://en.wikipedia.org/wiki/Kanwar_Sen,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Vir Singh,1956,PadmaBushan,Punjab,Literature & Education,https://en.wikipedia.org/wiki/Vir_Singh_(writer),"(1872-12-05)5 December 1872[1]
Amritsar,Punjab,British India",(1872-12-05)5 December 1872[1],"Amritsar,Punjab,British India","10 June 1957(1957-06-10)(aged 84)[1]
Amritsar,Punjab, India",10 June 1957(1957-06-10)(aged 84)[1],"Amritsar,Punjab, India",Indian,Mata Chatar Kaur,,,Sahitya AcademyAward in 1955[3]and thePadma Bhushan(1956)[1][4],Rajendra Prasad,"Poet, short-story writer, song composer, novelist, playwright and essayist.",No,No
Kasturi Srinivasan,1956,PadmaBushan,Punjab,Literature & Education,https://en.wikipedia.org/wiki/K._Srinivasan,"Kasturi Ranga Iyengar Srinivasan
(1887-08-07)7 August 1887
Kumbakonam,Madras Presidency",(1887-08-07)7 August 1887,n/a,"21 June 1959(1959-06-21)(aged 71)
Madras, India",21 June 1959(1959-06-21)(aged 71),"Madras, India",Indian,Komala Valli,,,Padma Bhushan(1956),Rajendra Prasad,journalist,No,No
Mahadevi Varma,1956,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Mahadevi_Varma,"(1907-03-26)26 March 1907
Farrukhabad,United Provinces of Agra and Oudh,British India",(1907-03-26)26 March 1907,"Farrukhabad,United Provinces of Agra and Oudh,British India","11 September 1987(1987-09-11)(aged 80)
Allahabad,Uttar Pradesh,India",11 September 1987(1987-09-11)(aged 80),"Allahabad,Uttar Pradesh,India",,Swarup Narayan Varma,,,"1956Padma Bhushan
1982Jnanpith Award
1988Padma Vibhushan",Rajendra Prasad,"Novelist, poet and short-story writer",No,No
Tiruvadi Sambasiva Venkataraman,1956,PadmaBushan,Tamil Nadu,Science & Engineering,https://en.wikipedia.org/wiki/Tiruvadi_Sambasiva_Venkataraman,"(1884-06-15)15 June 1884
Salem,Madras Presidency,British Raj
(now inTamil Nadu,India)",(1884-06-15)15 June 1884,"Salem,Madras Presidency,British Raj
(now inTamil Nadu,India)","18 January 1963(1963-01-18)(aged 78)
Madras,Madras State
(nowChennai,Tamil Nadu), India",18 January 1963(1963-01-18)(aged 78),"Madras,Madras State
(nowChennai,Tamil Nadu), India","British Indian (1884–1947)
Indian(1947–1963)",,,Sugarcane Breeding Institute,1920Rao Sahib1928Rao Bahadur1934 Fellow of theIndian Academy of Sciences(FASc)1935 Foundation Fellow of theNational Institute of Sciences of India(FNI)[note 1]1937 Companion of theOrder of the Indian Empire(CIE)1942Knight Bachelor1956Padma Bhushan,Rajendra Prasad,,No,No
Bhikham Lal Atreya,1957,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Bhikham_Lal_Atreya,"1897
Village- Bandar Judda Uttar Pardesh (India)",1897,Village- Bandar Judda Uttar Pardesh (India),1967 (aged 69–70),1967 (aged 69–70),n/a,,,,,Padma Bhushan,Rajendra Prasad,"Writer
Scholar
Academic",Yes,No
T. Balasaraswati,1957,PadmaBushan,Tamil Nadu,Arts,https://en.wikipedia.org/wiki/Balasaraswati,"13 May 1918
Madras Presidency,British India",13 May 1918,"Madras Presidency,British India","9 February 1984 (aged 65)
Madras, India",9 February 1984 (aged 65),"Madras, India",,,,,,Rajendra Prasad,,Yes,No
Alagappa Chettiar,1957,PadmaBushan,Tamil Nadu,Social Work,https://en.wikipedia.org/wiki/Alagappa_Chettiar,"Alagappa Chettiar
(1909-04-06)6 April 1909
Kottaiyur, (Madurai District)Madras Presidency,British India
(in present-dayTamil Nadu, India)",(1909-04-06)6 April 1909,n/a,"5 April 1957(1957-04-05)(aged 47)
Vepery,Madras, Tamil Nadu, India",5 April 1957(1957-04-05)(aged 47),"Vepery,Madras, Tamil Nadu, India",,Mathushri Lakshmi[1],,,,Rajendra Prasad,"Businessman, philanthropist",Yes,No
Hazari Prasad Dwivedi,1957,PadmaBushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Hazari_Prasad_Dwivedi,"(1907-08-19)19 August 1907
Ballia,United Provinces of Agra and Oudh,British India",(1907-08-19)19 August 1907,"Ballia,United Provinces of Agra and Oudh,British India","(1979-05-19)19 May 1979
(aged 71)
Delhi,India",(1979-05-19)19 May 1979,"(aged 71)
Delhi,India",Indian,,,,"1973:Sahitya Akademi Award
1957:Padma Bhushan",Rajendra Prasad,"Writer, essayist, scholar, historian, novelist, critic",Yes,No
Abid Hussain,1957,PadmaBushan,Uttar Pradesh,Literature & Education,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Mushtaq Hussain Khan,1957,PadmaBushan,Madhya Pradesh,Arts,https://en.wikipedia.org/wiki/Mushtaq_Hussain_Khan,"1878
Sahaswan,India",1878,"Sahaswan,India","August 13, 1964(1964-08-13)(aged 85–86)
Delhi,India","August 13, 1964(1964-08-13)(aged 85–86)","Delhi,India",,,,,,Rajendra Prasad,,Yes,No
Lakshmi Menon,1957,PadmaBushan,Kerala,Public Affairs,https://en.wikipedia.org/wiki/Lakshmi_N._Menon,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,Yes,No
Radha Kumud Mukherjee,1957,PadmaBushan,West Bengal,Public Affairs,https://en.wikipedia.org/wiki/Radha_Kumud_Mukherjee,25 January 1884,25 January 1884,n/a,9 September 1963,9 September 1963,n/a,,,,,,Rajendra Prasad,Historian,Yes,No
K. Covilagam Kutti Ettan Raja,1957,PadmaBushan,Kerala,Civil Service,not available,URL not available,n/a,n/a,URL not available,n/a,n/a,URL not available,URL not available,URL not available,URL not available,URL not available,Rajendra Prasad,URL not available,Yes,No
Andal Venkatasubba Rao,1957,PadmaBushan,Andhra Pradesh,Social Work,https://en.wikipedia.org/wiki/Andal_Venkatasubba_Rao,"1894
Chennai,Tamil Nadu, India",1894,"Chennai,Tamil Nadu, India","1969
India",1969,India,,M. Venkatasubba Rao,,,Padma Bhushan,Rajendra Prasad,"Social worker
Educationist",Yes,No
Shrikrishna N. Ratanjankar,1957,PadmaBushan,Uttar Pradesh,Arts,https://en.wikipedia.org/wiki/Shrikrishna_Narayan_Ratanjankar,(1900-01-01)1 January 1900,(1900-01-01)1 January 1900,n/a,14 February 1974(1974-02-14)(aged 74),14 February 1974(1974-02-14)(aged 74),n/a,,,,,,Rajendra Prasad,,Yes,No
Shyam Nandan Sahay,1957,PadmaBushan,Bihar,Literature & Education,https://en.wikipedia.org/wiki/Shyam_Nandan_Sahay,"Bihar, India",n/a,n/a,India,n/a,n/a,,,,,Padma Bhushan,Rajendra Prasad,"Educationist
Landlord
Legislator",Yes,No
Govind Sakharam Sardesai,1957,PadmaBushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Govind_Sakharam_Sardesai,"17 May 1865
Govil,Ratnagiri District, Maharshtra",17 May 1865,"Govil,Ratnagiri District, Maharshtra","29 November 1959 (aged 94)
Kamshet, Pune, Maharshtra",29 November 1959 (aged 94),"Kamshet, Pune, Maharshtra",,,,,Padma Bhushan,Rajendra Prasad,,Yes,No
K. A. Nilakanta Sastri,1957,PadmaBushan,Tamil Nadu,Literature & Education,https://en.wikipedia.org/wiki/K._A._Nilakanta_Sastri,"(1892-08-12)12 August 1892
Kallidaikurichi,British India",(1892-08-12)12 August 1892,"Kallidaikurichi,British India","15 June 1975(1975-06-15)(aged 82)
Madras,India",15 June 1975(1975-06-15)(aged 82),"Madras,India",,Lakshmi Narasammal,,,Padma Bhushan(1957),Rajendra Prasad,"Historian,Academician, professor, author",Yes,No
Boshi Sen,1957,PadmaBushan,West Bengal,Science & Engineering,https://en.wikipedia.org/wiki/Basiswar_Sen,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,Yes,No
Siddheshwar Varma,1957,PadmaBushan,Chandigarh,Literature & Education,https://en.wikipedia.org/wiki/Siddheshwar_Varma,"(1887-11-03)3 November 1887
Rawalpindi,Punjab Province,British India",(1887-11-03)3 November 1887,"Rawalpindi,Punjab Province,British India","17 August 1985(1985-08-17)(aged 97)
Delhi, India",17 August 1985(1985-08-17)(aged 97),"Delhi, India",,,,,"Padma Bhushan
Presidential Certificate of Honour
GoJKRobe of Honor",Rajendra Prasad,"Linguist
Phonetician
Writer
Scholar",Yes,No
Salim Ali,1958,PadmaBushan,Maharashtra,Science & Engineering,https://en.wikipedia.org/wiki/Salim_Ali,"(1896-11-12)12 November 1896
Bombay,Bombay Presidency,British India",(1896-11-12)12 November 1896,"Bombay,Bombay Presidency,British India","20 June 1987(1987-06-20)(aged 90)
Bombay,Maharashtra,India",20 June 1987(1987-06-20)(aged 90),"Bombay,Maharashtra,India",Indian,Tehmina Ali,,,"Padma Bhushan(1958)
Padma Vibhushan(1976)
J. Paul Getty Award for Conservation Leadership(1975)",Rajendra Prasad,,No,No
Vijaya Anand,1958,PadmaBushan,Uttar Pradesh,Sports,https://en.wikipedia.org/wiki/Maharajkumar_of_Vizianagram,"(1905-12-28)28 December 1905
British India[N 1]",(1905-12-28)28 December 1905,British India[N 1],"2 December 1965(1965-12-02)(aged 59)
Varanasi,Uttar Pradesh, India",2 December 1965(1965-12-02)(aged 59),"Varanasi,Uttar Pradesh, India",,,,,,Rajendra Prasad,,No,No
D. P. Roy Choudhury,1958,PadmaBushan,West Bengal,Arts,https://en.wikipedia.org/wiki/D._P._Roy_Choudhury,"(1899-06-15)15 June 1899
Tejhat,Rangpur district, British India",(1899-06-15)15 June 1899,"Tejhat,Rangpur district, British India",15 October 1975(1975-10-15)(aged 76),15 October 1975(1975-10-15)(aged 76),n/a,,Dolly,,,"Padma Bhushan
Member of theOrder of the British Empire(MBE)
Lalit Kala AkademyRatna",Rajendra Prasad,"Painter
sculptor",No,No
