Recipients,Year,Award Type,State,Field,WikiLink,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Awarded By,Occupation,Election Year,Posthumus
Chandulal Madhavlal Trivedi,1956,PadmaVibhushan,Madhya Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Chandulal_Madhavlal_Trivedi,"(1893-07-02)2 July 1893
Kapadvanj,Kaira District,Bombay Presidency,British India
(nowKheda district,Gujarat,India)",(1893-07-02)2 July 1893,"Kapadvanj,Kaira District,Bombay Presidency,British India
(nowKheda district,Gujarat,India)","15 March 1980(1980-03-15)(aged 86)
Kapadvanj,Kaira District(now Kheda district), Gujarat, India",15 March 1980(1980-03-15)(aged 86),"Kapadvanj,Kaira District(now Kheda district), Gujarat, India",,Kusumben Chunilal Trivedi,,,,Rajendra Prasad,,No,No
Ghanshyam Das Birla,1957,PadmaVibhushan,Rajasthan,Trade & Industry,https://en.wikipedia.org/wiki/Ghanshyam_Das_Birla,10 April 1894,10 April 1894,n/a,11 June 1983(1983-06-11)(aged 89),11 June 1983(1983-06-11)(aged 89),n/a,,,,,,Rajendra Prasad,,Yes,No
Sri Prakasa,1957,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Sri_Prakasa,"3 August 1890
Varanasi,United Provinces,British India",3 August 1890,"Varanasi,United Provinces,British India",23 June 1971(1971-06-23)(aged 80),23 June 1971(1971-06-23)(aged 80),n/a,,,Central Hindu Boys SchoolUniversity of Cambridge,,,Rajendra Prasad,,Yes,No
M. C. Setalvad,1957,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/M._C._Setalvad,Motilal Chimanlal Setalvad,n/a,n/a,,n/a,n/a,Indian,,,,,Rajendra Prasad,Lawyer,Yes,No
John Mathai,1959,PadmaVibhushan,Kerala,Literature & Education,https://en.wikipedia.org/wiki/John_Mathai,"(1886-01-10)10 January 1886
Calicut,Madras Presidency,British India(now Kozhikode, Kerala, India)",(1886-01-10)10 January 1886,"Calicut,Madras Presidency,British India(now Kozhikode, Kerala, India)",(1959-02-00)February 1959 (aged 73),(1959-02-00)February 1959 (aged 73),n/a,"British Indian(1886-1947)
Indian(1947-59)",,"Madras Christian College,Madras Law College[1]",,,Rajendra Prasad,,No,No
Gaganvihari Lallubhai Mehta,1959,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Gaganvihari_Lallubhai_Mehta,,n/a,n/a,,n/a,n/a,,,,,,Rajendra Prasad,,No,No
Radhabinod Pal,1959,PadmaVibhushan,West Bengal,Public Affairs,https://en.wikipedia.org/wiki/Radhabinod_Pal,"(1886-01-27)27 January 1886
Taragunia, Salimpur,Kushtia,Bengal Presidency,British India[1]
(present-dayBangladesh)",(1886-01-27)27 January 1886,"Taragunia, Salimpur,Kushtia,Bengal Presidency,British India[1]
(present-dayBangladesh)","10 January 1967(1967-01-10)(aged 80)
Calcutta, India[1]",10 January 1967(1967-01-10)(aged 80),"Calcutta, India[1]","British Indian, Bengal Presidency, Indian",,,,Padma Vibhushan,Rajendra Prasad,Jurist,No,No
Narayana Raghvan Pillai,1960,PadmaVibhushan,Tamil Nadu,Public Affairs,https://en.wikipedia.org/wiki/N._R._Pillai,"Elenkath Narayanan Raghavan Pillai
(1898-07-24)24 July 1898
Trivandrum,Travancore State,British India
(now inKerala, India)",(1898-07-24)24 July 1898,n/a,"31 March 1992(1992-03-31)(aged 93)
Kensington,London,England, United Kingdom",31 March 1992(1992-03-31)(aged 93),"Kensington,London,England, United Kingdom",Indian,,,,,Rajendra Prasad,,No,No
H. V. R. Iyengar,1962,PadmaVibhushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/H._V._R._Iyengar,(1902-08-23)23 August 1902,(1902-08-23)23 August 1902,n/a,22 February 1978(1978-02-22)(aged 75),22 February 1978(1978-02-22)(aged 75),n/a,Indian,,"University of Mysore
Queen's College, Oxford",,,Rajendra Prasad,,Yes,No
Padmaja Naidu,1962,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Padmaja_Naidu,"17 November 1900
Hyderabad,Hyderabad State,British India",17 November 1900,"Hyderabad,Hyderabad State,British India","2 May 1975 (aged 74)
New Delhi,India",2 May 1975 (aged 74),"New Delhi,India",,,,,,Rajendra Prasad,,Yes,No
Vijaya Lakshmi Pandit,1962,PadmaVibhushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/wiki/Vijaya_Lakshmi_Pandit,"Vijaya Lakshmi Nehru
(1900-08-18)18 August 1900
Allahabad,North-Western Provinces,British India",(1900-08-18)18 August 1900,n/a,"1 December 1990(1990-12-01)(aged 90)
Dehradun,Uttarakhand,India",1 December 1990(1990-12-01)(aged 90),"Dehradun,Uttarakhand,India",,Ranjit Sitaram Pandit,,,,Rajendra Prasad,,Yes,No
Suniti Kumar Chatterji,1963,PadmaVibhushan,West Bengal,Literature & Education,https://en.wikipedia.org/wiki/Suniti_Kumar_Chatterji,"(1890-11-26)26 November 1890
Shibpur,Howrah,Bengal,British India",(1890-11-26)26 November 1890,"Shibpur,Howrah,Bengal,British India","29 May 1977(1977-05-29)(aged 86)
Kolkata,West Bengal, India",29 May 1977(1977-05-29)(aged 86),"Kolkata,West Bengal, India",Indian,,,,Padma Bhushan(1955),Sarvepalli Radhakrishnan,,No,No
A. Lakshmanaswami Mudaliar,1963,PadmaVibhushan,Tamil Nadu,Medicine,https://en.wikipedia.org/wiki/A._Lakshmanaswami_Mudaliar,14 October 1887,14 October 1887,n/a,"15 April 1974 (aged 86)[1]
Madras, India",15 April 1974 (aged 86)[1],"Madras, India",Indian,,,,"Padma Bhushan,Padma Vibhushan",Sarvepalli Radhakrishnan,,No,No
Hari Vinayak Pataskar,1963,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Hari_Vinayak_Pataskar,"(1892-05-15)15 May 1892
Indapur,Pune,Bombay Presidency,British India(Now in Maharashtra, India)",(1892-05-15)15 May 1892,"Indapur,Pune,Bombay Presidency,British India(Now in Maharashtra, India)","21 February 1970(1970-02-21)(aged 77)
Pune,Maharashtra,India",21 February 1970(1970-02-21)(aged 77),"Pune,Maharashtra,India",,,,,,Sarvepalli Radhakrishnan,,No,No
Acharya Kakasaheb Kalelkar,1964,PadmaVibhushan,Maharashtra,Literature & Education,https://en.wikipedia.org/wiki/Kaka_Kalelkar,"Dattatreya Balkrishna Kalelkar
1 December 1885
Satara,Maharashtra",1 December 1885,n/a,"21 August 1981(1981-08-21)(aged 95)
New Delhi",21 August 1981(1981-08-21)(aged 95),New Delhi,,,Fergusson College,,,Sarvepalli Radhakrishnan,"Social reformer, activist",No,No
Gopinath Kaviraj,1964,PadmaVibhushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Gopinath_Kaviraj,"7 September 1887(1887-09-07)
Dhamrai,Bengal Presidency,British India",7 September 1887(1887-09-07),"Dhamrai,Bengal Presidency,British India","12 June 1976(1976-06-13)(aged 88)
Varanasi,Uttar Pradesh, India",12 June 1976(1976-06-13)(aged 88),"Varanasi,Uttar Pradesh, India",,,,,,Sarvepalli Radhakrishnan,"PrincipalGovernment Sanskrit College, Varanasi(1923–1937), Sanskrit scholar, philosopher",No,No
Jayanto Nath Chaudhuri,1965,PadmaVibhushan,West Bengal,Civil Service,https://en.wikipedia.org/wiki/Jayanto_Nath_Chaudhuri,(1908-06-10)10 June 1908,(1908-06-10)10 June 1908,n/a,6 April 1983(1983-04-06)(aged 74),6 April 1983(1983-04-06)(aged 74),n/a,,,"University of Calcutta
Highgate School, London",,"Padma Vibhushan
Order of the British Empire
Order Of Merit (Arab Union)
Burma Star
1939–1945 Star",Sarvepalli Radhakrishnan,,No,No
Mehdi Nawaz Jung,1965,PadmaVibhushan,Andhra Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Mehdi_Nawaz_Jung,"Syed Mohammed Mehdi
(1894-05-23)23 May 1894
Dar-ul-Shifa,Hyderabad,Hyderabad State(nowTelangana,India)",(1894-05-23)23 May 1894,n/a,"28 June 1967(1967-06-28)(aged 73)
Hyderabad,Andhra Pradesh,India(nowTelangana,India)",28 June 1967(1967-06-28)(aged 73),"Hyderabad,Andhra Pradesh,India(nowTelangana,India)",Indian,,,,Padma Vibhushan,Sarvepalli Radhakrishnan,Bureaucrat and Politician,No,No
Arjan Singh,1965,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Arjan_Singh,"(1919-04-15)15 April 1919
Lyallpur,Punjab,British India
(nowFaisalabad,Punjab,Pakistan)",(1919-04-15)15 April 1919,"Lyallpur,Punjab,British India
(nowFaisalabad,Punjab,Pakistan)","16 September 2017(2017-09-16)(aged 98)
New Delhi,India",16 September 2017(2017-09-16)(aged 98),"New Delhi,India",,"Teji Singh
​​(m.1948; died 2011)​",,,Padma VibhushanDistinguished Flying Cross,Sarvepalli Radhakrishnan,,No,No
Valerian Gracias,1966,PadmaVibhushan,Maharashtra,Social Work,https://en.wikipedia.org/wiki/Valerian_Gracias,"(1900-10-23)23 October 1900
Karachi,British India",(1900-10-23)23 October 1900,"Karachi,British India","11 September 1978(1978-09-11)(aged 77)
Bombay,Maharashtra,India",11 September 1978(1978-09-11)(aged 77),"Bombay,Maharashtra,India",Indian,,"St. Patrick's High School
St. Joseph's Seminary (Mangalore)
Pontifical Seminary (Kandy)
Pontifical Gregorian University",,,Sarvepalli Radhakrishnan,,No,No
Chandra Kisan Daphtary,1967,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/C._K._Daphtary,(1893-04-01)1 April 1893[3],(1893-04-01)1 April 1893[3],n/a,18 February 1983(1983-02-18)(aged 89),18 February 1983(1983-02-18)(aged 89),n/a,,Sushila Daphtary,,,Padma Vibhushan(1967),Sarvepalli Radhakrishnan,,Yes,No
Hafiz Mohamad Ibrahim,1967,PadmaVibhushan,Andhra Pradesh,Civil Service,https://en.wikipedia.org/wiki/Hafiz_Mohamad_Ibrahim,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,Yes,No
Bhola Nath Jha,1967,PadmaVibhushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/wiki/Bhola_Nath_Jha,,n/a,n/a,,n/a,n/a,,,,,,Sarvepalli Radhakrishnan,,Yes,No
P. V. R. Rao,1967,PadmaVibhushan,Andhra Pradesh,Civil Service,https://en.wikipedia.org/wiki/P._V._R._Rao,India,n/a,n/a,,n/a,n/a,,,,,Padma Vibhushan,Sarvepalli Radhakrishnan,"Civil servant, writer",Yes,No
Madhav Shrihari Aney,1968,PadmaVibhushan,Madhya Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Madhav_Shrihari_Aney,"29 August 1880
Wani,Berar Province,Hyderabad State,British India
(Now inMaharashtra,India)",29 August 1880,"Wani,Berar Province,Hyderabad State,British India
(Now inMaharashtra,India)",26 January 1968 (aged 87),26 January 1968 (aged 87),n/a,,Yamuna Bai​​(m.1898; died 1925)​,"Morris College(B.A., 1902)Calcutta University(LL.B, 1907)",,Padma Vibhushan(1968),Zakir Husain (politician),"Author, politician, freedom fighter",No,No
Subrahmanyan Chandrasekhar,1968,PadmaVibhushan,—[B],Science & Engineering,https://en.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar,"(1910-10-19)19 October 1910
Lahore,Punjab,British India(present-dayPunjab,Pakistan)",(1910-10-19)19 October 1910,"Lahore,Punjab,British India(present-dayPunjab,Pakistan)","21 August 1995(1995-08-21)(aged 84)
Chicago,Illinois, U.S.",21 August 1995(1995-08-21)(aged 84),"Chicago,Illinois, U.S.",,Lalitha Doraiswamy​​(m.1936; (his death) 1995)​,,"University of Chicago
Yerkes Observatory
Ballistic Research Laboratory
University of Cambridge",FRS(1944)[1]Adams Prize(1948)Nobel Prize in Physics(1983)Copley Medal(1984)National Medal of Science(1966)Royal Medal(1962)Padma Vibhushan(1968)Heineman Prize(1974),Zakir Husain (politician),,No,No
Prasanta Chandra Mahalanobis,1968,PadmaVibhushan,Delhi,Literature & Education,https://en.wikipedia.org/wiki/Prasanta_Chandra_Mahalanobis,"(1893-06-29)29 June 1893
Calcutta,Bengal Presidency,British India(nowKolkata, West Bengal",(1893-06-29)29 June 1893,"Calcutta,Bengal Presidency,British India(nowKolkata, West Bengal","28 June 1972(1972-06-28)(aged 78)
Kolkata, West Bengal, India",28 June 1972(1972-06-28)(aged 78),"Kolkata, West Bengal, India",,Nirmal Kumari Mahalanobis[2],,"University of Cambridge
Indian Statistical Institute","Padma Vibhushan(1968)
Officer of theOrder of the British Empire(OBE, 1942)[3]
Fellow of the Royal Society(FRS)[1]
Weldon Memorial Prize",Zakir Husain (politician),,No,No
Kirpal Singh,1968,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Kirpal_Singh,"6 February 1894
Syed Kasran,Punjab, Indian Empire",6 February 1894,"Syed Kasran,Punjab, Indian Empire","21 August 1974
New Delhi,Delhi,India",21 August 1974,"New Delhi,Delhi,India",Indian,,,,,Zakir Husain (politician),"Accountant, Military Accounts Department",No,No
Kalyan Sundaram,1968,PadmaVibhushan,Delhi,Public Affairs,https://en.wikipedia.org/wiki/Kalyan_Sundaram,"(1904-05-11)11 May 1904
Kuttur,Madras Presidency",(1904-05-11)11 May 1904,"Kuttur,Madras Presidency","23 September 1992(1992-09-23)(aged 88)
New Delhi, India",23 September 1992(1992-09-23)(aged 88),"New Delhi, India",Indian,Indira Sundaram,,,Padma Vibhushan(1968),Zakir Husain (politician),,No,No
Rajeshwar Dayal,1969,PadmaVibhushan,Delhi,Civil Service,https://en.wikipedia.org/wiki/Rajeshwar_Dayal,"12 August 1909
India",12 August 1909,India,"17 September 1999
New Delhi, India",17 September 1999,"New Delhi, India",,,,,Padma Vibhushan,Zakir Husain (politician),"Diplomat
Writer",No,No
Dattatraya Shridhar Joshi,1969,PadmaVibhushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/D._S._Joshi,,n/a,n/a,,n/a,n/a,,,,,,Zakir Husain (politician),,No,No
Har Gobind Khorana,1969,PadmaVibhushan,—[B],Science & Engineering,https://en.wikipedia.org/wiki/Har_Gobind_Khorana,"(1922-01-09)9 January 1922
Raipur,Multan,Punjab Province,British India(present dayPunjab,Pakistan)",(1922-01-09)9 January 1922,"Raipur,Multan,Punjab Province,British India(present dayPunjab,Pakistan)","9 November 2011(2011-11-09)(aged 89)
Concord, Massachusetts, U.S.",9 November 2011(2011-11-09)(aged 89),"Concord, Massachusetts, U.S.",,Esther Elizabeth Sibler,,"MIT(1970–2007)University of Wisconsin–Madison(1960–70)University of British Columbia(1952–60)University of Cambridge(1950–52)Swiss Federal Institute of Technology, Zurich(1948–49)",Nobel Prize in Medicine(1968)Gairdner Foundation International Award(1980)Louisa Gross Horwitz PrizeForMemRS(1978)Albert Lasker Award for Basic Medical ResearchPadma VibhushanWillard Gibbs Award(1974),Zakir Husain (politician),,No,No
Mohan Sinha Mehta,1969,PadmaVibhushan,Rajasthan,Civil Service,https://en.wikipedia.org/wiki/Mohan_Sinha_Mehta,,n/a,n/a,,n/a,n/a,,,,,,Zakir Husain (politician),,No,No
Ghananand Pande,1969,PadmaVibhushan,Uttar Pradesh,Civil Service,https://en.wikipedia.org/wiki/Ghananand_Pande,"(1902-01-01)1 January 1902
Ranikhet,Almora districtinUttarakhand",(1902-01-01)1 January 1902,"Ranikhet,Almora districtinUttarakhand",,n/a,n/a,Indian,,,,,Zakir Husain (politician),,No,No
Tara Chand,1970,PadmaVibhushan,Uttar Pradesh,Literature & Education,https://en.wikipedia.org/wiki/Tara_Chand_(archaeologist),,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Suranjan Das,1970,PadmaVibhushan,West Bengal,Civil Service,https://en.wikipedia.org/wiki/Suranjan_Das_(pilot),"(1920-02-22)22 February 1920
Calcutta,British India",(1920-02-22)22 February 1920,"Calcutta,British India",10 January 1970(1970-01-10)(aged 49)[1],10 January 1970(1970-01-10)(aged 49)[1],n/a,,Veronica Loveless[3],,,"Padma Vibhushan
Ati Vishisht Sena Medal
Vayusena Medal",V. V. Giri,,No,No
Anthony Lancelot Dias,1970,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Anthony_Lancelot_Dias,"Anthony Lancelot Dias
14 March 1912",14 March 1912,n/a,22 September 2002(2002-09-22)(aged 90),22 September 2002(2002-09-22)(aged 90),n/a,,,,,,V. V. Giri,ICS Officer,No,No
P. Prabhakar Kumaramangalam,1970,PadmaVibhushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/Paramasiva_Prabhakar_Kumaramangalam,"Paramasiva Prabhakar Kumaramangalam
(1913-07-01)1 July 1913
Kumaramangalam,Madras Presidency,British Raj",(1913-07-01)1 July 1913,n/a,"13 March 2000(2000-03-13)(aged 86)
Chennai, Tamil Nadu",13 March 2000(2000-03-13)(aged 86),"Chennai, Tamil Nadu",,,,,"Padma Vibhushan
Distinguished Service Order
Member of the Order of the British Empire",V. V. Giri,,No,No
A. Ramasamy Mudaliar,1970,PadmaVibhushan,Andhra Pradesh,Civil Service,https://en.wikipedia.org/wiki/Arcot_Ramasamy_Mudaliar,"(1887-10-14)14 October 1887
Kurnool,Madras Presidency,British India",(1887-10-14)14 October 1887,"Kurnool,Madras Presidency,British India","17 July 1976(1976-07-17)(aged 88)
Madras, India",17 July 1976(1976-07-17)(aged 88),"Madras, India",Indian,,Madras Christian College,,,V. V. Giri,Diplomat,No,No
Binay Ranjan Sen,1970,PadmaVibhushan,West Bengal,Civil Service,https://en.wikipedia.org/wiki/Binay_Ranjan_Sen,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,No,No
Harbaksh Singh,1970,PadmaVibhushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Harbaksh_Singh,"(1913-10-01)1 October 1913/1912
Badrukhan,Jind State,British India",(1913-10-01)1 October 1913/1912,"Badrukhan,Jind State,British India","14 November 1999(1999-11-14)(aged 86)
New Delhi,India",14 November 1999(1999-11-14)(aged 86),"New Delhi,India",,,,,"Padma Vibhushan
Padma Bhushan
Vir Chakra",V. V. Giri,,No,No
Bimala Prasad Chaliha,1971,PadmaVibhushan,Assam,Civil Service,https://en.wikipedia.org/wiki/Bimala_Prasad_Chaliha,"26 March 1912
Sivasagar",26 March 1912,Sivasagar,"25 February 1971(1971-02-25)(aged 58)
Shillong",25 February 1971(1971-02-25)(aged 58),Shillong,,Amaya Chaliha,,,Padma Vibhushan(1971),V. V. Giri,,Yes,No
Allauddin Khan,1971,PadmaVibhushan,West Bengal,Arts,https://en.wikipedia.org/wiki/Allauddin_Khan,"c.1862
Shibpur,Bengal Presidency,British India
(nowBangladesh)",c.1862,"Shibpur,Bengal Presidency,British India
(nowBangladesh)",6 September 1972(1972-09-06)(aged 109–110),6 September 1972(1972-09-06)(aged 109–110),n/a,,,,,,V. V. Giri,,Yes,No
Sumati Morarjee,1971,PadmaVibhushan,Maharashtra,Civil Service,https://en.wikipedia.org/wiki/Sumati_Morarjee,"Jamuna
(1909-03-13)13 March 1909
Bombay,British India",(1909-03-13)13 March 1909,n/a,27 June 1998(1998-06-27)(aged 89),27 June 1998(1998-06-27)(aged 89),n/a,,Shanti Kumar Narottam Morarjee,,,Padma Vibhushan(1971),V. V. Giri,,Yes,No
Uday Shankar,1971,PadmaVibhushan,Maharashtra,Arts,https://en.wikipedia.org/wiki/Uday_Shankar,"8 December 1900
Udaipur,Udaipur State,British India",8 December 1900,"Udaipur,Udaipur State,British India","26 September 1977 (aged 76)
Kolkata,West Bengal,India",26 September 1977 (aged 76),"Kolkata,West Bengal,India",Indian,Amala Shankar,,,,V. V. Giri,"Dancer, choreographer",Yes,No
Vithal Nagesh Shirodkar,1971,PadmaVibhushan,Goa,Medicine,https://en.wikipedia.org/wiki/Vithal_Nagesh_Shirodkar,,n/a,n/a,,n/a,n/a,,,,,,V. V. Giri,,Yes,No
B. Sivaraman,1971,PadmaVibhushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/B._Sivaraman,India,n/a,n/a,,n/a,n/a,,,,,Padma Vibhushan,V. V. Giri,Civil servant,Yes,No
P. Balacharya Gajendragadkar,1972,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/P._B._Gajendragadkar,"(1901-03-16)16 March 1901
Satara,Bombay Presidency,British India",(1901-03-16)16 March 1901,"Satara,Bombay Presidency,British India","12 June 1981(1981-06-12)(aged 80)
Bombay,Maharashtra,India",12 June 1981(1981-06-12)(aged 80),"Bombay,Maharashtra,India",Indian,,"Karnatak College, Dharwar,Deccan College (Pune),ILS Law College",,Zala Vedant Prize,V. V. Giri,,No,No
Aditya Nath Jha#,1972,PadmaVibhushan,Uttar Pradesh,Public Affairs,https://en.wikipedia.org/wiki/Aditya_Nath_Jha,"18 August 1911[1]
Ayachi Nagar, Sarisab Pahi, Madhubani District, Bihar",18 August 1911[1],"Ayachi Nagar, Sarisab Pahi, Madhubani District, Bihar",1972,1972,n/a,Indian,,,,Padma Vibhushan,V. V. Giri,ICS Officer,No,No
Pratap Chandra Lal,1972,PadmaVibhushan,Punjab,Civil Service,https://en.wikipedia.org/wiki/Pratap_Chandra_Lal,"(1916-12-06)6 December 1916
LudhianaPunjab,India",(1916-12-06)6 December 1916,"LudhianaPunjab,India","13 August 1982(1982-08-13)(aged 65)
London,United Kingdom",13 August 1982(1982-08-13)(aged 65),"London,United Kingdom",,,,,"Padma Vibhushan
Padma Bhushan
Distinguished Flying Cross",V. V. Giri,,No,No
Sam Manekshaw,1972,PadmaVibhushan,Tamil Nadu,Civil Service,https://en.wikipedia.org/wiki/Sam_Manekshaw,"(1914-04-03)3 April 1914
Amritsar,Punjab Province,British India",(1914-04-03)3 April 1914,"Amritsar,Punjab Province,British India","27 June 2008(2008-06-27)(aged 94)
Wellington,Tamil Nadu,India",27 June 2008(2008-06-27)(aged 94),"Wellington,Tamil Nadu,India",,Silloo Bode,,,Padma VibhushanPadma BhushanMilitary Cross,V. V. Giri,,No,No
Jivraj Narayan Mehta,1972,PadmaVibhushan,Maharashtra,Public Affairs,https://en.wikipedia.org/wiki/Jivraj_Narayan_Mehta,"(1887-08-29)29 August 1887
Amreli,Bombay Presidency,British India",(1887-08-29)29 August 1887,"Amreli,Bombay Presidency,British India",7 November 1978(1978-11-07)(aged 91),7 November 1978(1978-11-07)(aged 91),n/a,,Hansa Jivraj Mehta,,,,V. V. Giri,,No,No
